step,loss,grad_norm,lr
10,2.295202486217022,1.2402210235595703,0.00019998442534369985
20,2.44176715798676,1.5305873155593872,0.00019812132965291545
30,1.534819133579731,1.3816142082214355,0.00019320966859024397
40,2.4439715035259724,2.168976306915283,0.00018540204424421263
50,2.087565390393138,2.49985933303833,0.0001749410343836125
60,1.553093435242772,1.6827067136764526,0.00016215165572528597
70,1.8818112658336759,3.36026668548584,0.00014743126587785522
80,3.0333310961723328,2.6258769035339355,0.00013123721770137944
90,1.5025606667622924,1.8749932050704956,0.00011407264965388906
100,1.9126891251653433,2.0618395805358887,9.647085360941476e-05
110,2.2358507812023163,2.2369742393493652,7.897870582915288e-05
120,1.4415332898497581,3.713376998901367,6.213967587462968e-05
130,1.5924106603488326,3.82326078414917,4.6476941364790074e-05
140,1.8304954562336206,2.3570003509521484,3.2477133190436945e-05
150,2.0867255041375756,2.4443321228027344,2.0575216211548907e-05
160,2.1941969003528357,2.620495319366455,1.1140975184297331e-05
170,1.3277218416333199,2.829070806503296,4.467525791148453e-06
180,1.9974831771105528,3.1255245208740234,7.622077288121033e-07
